QuestionNumber,Question,RelatedTags,Answer
1,On who is responsible for the Jynxs’ transfiguration.,"['Articuno', 'Feather', 'Haukea', 'Legendary Birds']",Just wanted to clear up a quick misconception! Articuno doesn’t bestow a Feather to the Jynx - that’s Haukea manifesting her own Feather and using it to catalyze the transformation.
2,Do all Champions/Future Champions meet Moltres?,"['Champion', 'Chinatsu', 'Legendary Birds', 'Moltres']","Yep, in general Champions only meet Chinatsu. If I remember right, no Champion had met Moltres in centuries."
3,Comparison between the Will of Fire concept (Naruto-verse) and Chinatsu’s duty.,"['Champion', 'Chinatsu', 'Indigo', 'League']","Sort of - Chinatsu is also connected to the Champion’s office for another reason besides offering wisdom. If an Indigo Champion were to go mad or disrespect the authority of their office, who better to put an end to them?"
4,A young Larvitar’s destructive ability to eat and break stone is matched against a young Rhyhorn’s armor. What emerges as the victor?,"['Larvitar', 'Rhyhorn', 'Pokemon Battle']","Larvitar’s bites would probably be effective at damaging the armor, but Rhyhorn is probably going to figure the game out real quick."
5,So does this make Larvitar a major predator?,"['Geodude', 'Larvitar', 'Pokemon Behaviour', 'Tyranitar']","I see a lone Larvitar as more of a scavenger or picking off weaker Pokémon like young Geodude, while ones with their parents just dig into whatever mama Tyranitar murders."
6,Is Mt. Silver as isolated in Traveler as the games?,"['Conference', 'Indigo', 'Indigo Plateau', 'Mt. Silver', 'Silver Town']","It’s fairly isolated, but has both the Pokémon League Village and Silver Town nearby. They’re sparsely populated outside of Conferences, however. The only regular human presence on and around Mt. Silver is Indigo Plateau, which is built onto the side."
7,Is the shrine [Chinatsu’s] built into the Mt. [Mt. Silver]?,"['Chinatsu', 'Indigo', 'Indigo Plateau', 'League', 'Mt. Silver', 'Wild Pokemon']",Yep. The League maintains various tunnels for their use. The wild Pokémon are too afraid of Chinatsu to try and infringe on them.
8,Is Melmetal a mythical Pokemon Traveler?,"['Aura', 'Melmetal', 'Mythical Pokemon', 'Pokemon Biology']","It’s been a while since I visited that lore, but if I remember correctly I had Melmetal as Aura-forged human constructs that were recently discovered. Subject to change, of course!"
9,"It was mentioned early on that Seadra could learn to levitate after extensive training, I'm guessing it's done through their latent draconic power?","['Dragon type', 'Seadra']","Yep, that’s right. Seadra levitate through their latent draconic power, although it’s quite difficult."
10,What do you define aura-forged pokemon to be?,"['Aura', 'Distortion', 'Sinnoh', 'Spiritomb']","And in general you have certain Aura-forged Pokémon created all over the world. When looking at their qualities, you have to realize that their qualities are defined by what their creators needed from them. Guardians, weapons, partners, laborers...there’s a massive range of them. Some are designed with the ability to reproduce to better fulfill their role, while others were denied that power for various reasons. Can you imagine if Spiritomb were capable of easily reproducing? Sinnoh would be a Distorted nightmare."
11,Do common people know about this type of aura-forged pokemon? [see question 10],"['Aura', 'Spiritomb']",People don’t know they were created by Aura (and some of these Pokémon are still mostly hidden such as Spiritomb) but they know of many of these Pokémon.
12,On Infernus’ evolution.,"['Evolution', 'Infernus', 'Magmarizer', 'Moltres', 'Technology']","I will say Infernus didn’t get a real power boost from Moltres’ influence on his evolution. I’m not a fan of blatant power ups haha. He’s more or less as strong as he would be if he’d evolved through a Magmarizer. What the experience did leave him with, however, was knowledge and comprehension that’ll help him down the line."
13,Does Sabrina not know [about Ash dying]?,"['Ash', 'Death', 'Psychic', 'Sabrina']",Sabrina knows - most powerful psychics will be able to tell that something is at the very least not right with Ash.
14,Could it be argued that humans are technically Pokemon?,"['Human Biology', 'Meta', 'Pokemon Biology']","In most continuities, I think yes. In Traveler, that’ll be a no."
15,Where are the legendary golems in the strength tree? Are they at a similar level as genesect?,"['Genesect', 'Legendary Birds', 'Legendary Pokemon', 'Legendary Titans', 'Pokemon Battle']","They’re roughly around the level of the Birds, although I don’t want to give too much info on them yet."
16,Doesn’t Traveler Lance have a red Gyrados?,"['Gyrados', 'Lake of Rage', 'Lance', 'Mewtwo', 'Team Rocket']","Yep, due to the Rockets being mostly broken up by Mewtwo’s temper tantrum, they never went forward with their evolution experiments at the Lake of Rage. Lance just has a normal boring blue Gyarados."
17,How many Rockets were there before and after the [Rocket] war? How many remain free?,"['Archer', 'Ariana', 'Hoenn', 'League', 'Mewtwo', 'Proton', 'Rocket War', 'Team Rocket']","Actual, uniformed Rocket grunts and operatives? A few thousand. Research teams, criminal links, smugglers, and the Rocket network measured in the tens of thousands. Plenty were wiped out by Mewtwo and the League. I’d say there’s something like 1-2,000 Rockets split between the factions in Hoenn, though they’re recruiting as much as possible and making forays into the criminal underworld and poaching rings (exploiting many former links that Pierce organized)."
18,"Infernus grunts, right?","['Infernus', 'Pokemon Behaviour']","Snarls, grunts, and roars mostly."
19,On Grey’s perspective about battles.,"['Ash', 'Grey', 'Pokemon Battle']",He and Ash are basically on the same page where it’s more about the right [fight] than the win. Not that either like losing - they hate it - but both are in it for the competition instead of just winning.
20,If Micheal and Grey had a field battle who would win? By that I mean everyone with each other.,"['Conference', 'Grey', 'Michael', 'Pokemon Battle']","If you had just their Conference teams they faced Ash with...I'd say it'd be close. I'd lean towards Grey, simply because he's used to hunting down powerful trainers. Michael's team I see as more of an army - they fight well together and compensate for each other's weaknesses, but Grey's team is designed to be as lethal as possible. He excels in taking down single powerful trainers, whereas Michael is who I would want on my side if I had to take down hundreds of trainers."
21,"On the topic of Lance, do we know how old he actually is? Traveler info and Recollection stories are contradicting each other.","['Age', 'Champion', 'Lance', 'Master Trainer']","Lance is...26? 27, maybe? To be honest I lost the notes I had with his exact age and have just had him categorized as mid-20s. I know he was a Master at 14, Champion at 15 or 16? Can't remember which. He'd been Champion for roughly ten years when Traveler first began, so he's been Champion for a little over 11 years now. That puts him at 26ish. I'll see if I can't dig through my notes and find the exact accurate notes."
22,On the southern continent.,"['Location', 'Sinnoh', 'Southern Continent']",There's significantly more to the Southern Continent. I figure the northern cap isn't too far north from Sinnoh.
23,"Out of curiosity, is Hoenn in line with the Equator?","['Hoenn', 'Location', 'Southern Continent']",Roughly. I imagine it to be roughly in line with the equator. Perhaps a little north? The Southern Continent is enormous.
24,On the official Traveler world map.,"['Johto', 'Kanto', 'Location', 'Sinnoh', 'Southern Continent']","Also, keep in mind the proportions for some areas are slightly off. In my mind Sinnoh is much bigger, nearly the size of both Kanto and Johto. I'll edit that in the future, along with the Southern Continent to make it look a little more realistic. That long, smooth strait in the southwest of the Southern Continent is intentional, btw!"
25,How hard would it be to take over Viridian Gym when Giovanni is killed?,"['Giovanni', 'Indigo', 'League', 'Viridian Gym']",Kind of a mess because the League was extremely paranoid about everything to do with the Viridian Gym and figuring out the extent of the corruption and rooting it out.
26,Who is the [Viridian] gym leader now though?,"['Giovanni', 'Indigo', 'Karen', 'League', 'Viridian Gym', 'Will']","Still having Karen as the substitute for now, but Will shifts in and out once he's back on his feet. They have other League members as well t[o] take some of the strain off."
27,"As things are now[chapter 51], how would Ash stack up against Michael?","['Ash', 'Conference', 'Indigo', 'Michael', 'Orre', 'Pokemon Battle']","That's a hard question [redacted] and it does kind of come down to the context of the fight. Michael hasn't been resting on his laurels after the Conference down in Orre, but he's definitely specializing to be more like Grey with his team - less emphasis on individual development and more on members of the team working with one another to maximize effectiveness and compensate for each other's weaknesses. He's training soldiers, not warriors. Ash's team is steadily growing in individual strength, and I think they'd be at least equal to most of Grey's team (minus Jolteon) in one-on-one combat since that's not what Michael is focusing his energy on. If you threw six of Michael's pokemon at six of Ash's, though, it would be a really bloody battle. Ash's team is strong enough to do some major damage, but I think Michael would pick Ash apart through superior teamwork."
28,Was it possible for Ash to beat Michael?,"['Ash', 'Air Lens', 'Champion', 'Infernus', 'Jolteon', 'Michael', 'Pokemon Battle']","I'd say that it was possible, but I think it would've been a 1-in-100 shot. Ash would've had to do everything absolutely perfectly, which was extremely tough to do because Michael had way more pokemon than he did and had basically seen every trick Ash had except for Air Lens - and we saw how effective that was. Without Air Lens and Infernus, Michael would have done serious damage with Jolteon, which was Champion-level."
29,Can you tell us all of Oak's team?,"['Alakazam', 'Arcanine', 'Blastoise', 'Charizard', 'Dragonite', 'Exeggutor', 'Gyarados', 'Pikachu', 'Professor Oak', 'Tauros', 'Venusaur']","Yep, Oak does have Ash's canon Pikachu at the Corral with him. It's kind of his buddy since most of his other teammates are either living a distance from the Corral or would completely tear the house up."
30,How did Infernus get that far ahead? The exp[ierence] from Michael?,"['Ash', 'Infernus', 'Michael', 'Pokemon Behaviour']","Mostly just because he's a broken fighter haha. Even before you factor in his stamina, techniques, and skill at battle you have to consider his devastating, absolutely OP combo of Teleport/Hug that can take down most fighters easily."
31,What was its [Blaine’s Magmar] rank in its prime?,"['Blaine', 'Champion', 'Magmar']","I'd say B+, so average Champion-level."
32,Can you please elaborate on threat levels and how those threats are measured?,"['ACE Trainer', 'Agatha', 'Champion', 'Elite Four', 'Glacia', 'Grey', 'Lorelei', 'Master Trainer', 'Nomad', 'Pokemon Battle', 'Pokemon Trainer', 'Threat Level']",Here's a rough breakdown of the threat-levels.
